0,0,0
50,98,222
93,91,102
230,233,238
174,148,125
174,148,125
0,0,0
93,91,102
174,148,125
93,91,102
174,148,125
165,47,24
174,148,125
93,91,102
174,148,125
165,47,24
93,91,102
165,47,24
230,233,238
165,47,24
174,148,125
93,91,102
174,148,125
174,148,125
230,233,238
174,148,125
174,148,125
174,148,125
0,36,132
174,148,125
174,148,125
230,233,238
93,91,102
230,233,238
93,91,102
174,148,125
50,98,222
0,0,0
0,36,132
50,98,222
0,0,0
174,148,125
0,36,132
165,47,24
174,148,125
174,148,125
174,148,125
0,36,132
174,148,125
230,233,238
50,98,222
230,233,238
50,98,222
174,148,125
50,98,222
174,148,125
230,233,238
165,47,24
0,36,132
165,47,24
0,36,132
165,47,24
174,148,125
230,233,238
0,0,0
93,91,102
174,148,125
93,91,102
174,148,125
0,36,132
0,0,0
0,0,0
93,91,102
174,148,125
93,91,102
174,148,125
0,36,132
230,233,238
93,91,102
230,233,238
230,233,238
174,148,125
0,36,132
174,148,125
50,98,222
0,36,132
0,36,132
93,91,102
93,91,102
93,91,102
174,148,125
